drug_name,medical_condition,side_effects,generic_name,drug_classes,activity,rx_otc,pregnancy_category,related_drugs
Lipitor,Cholesterol,"hives; difficulty breathing; swelling of your face, lips, tongue, or throat. In rare cases, Lipitor can cause a condition that results in the breakdown of skeletal muscle tissue, leading to kidney failure. Call your doctor right away if you have unexplained muscle pain, tenderness, or weakness especially if you also have fever, unusual tiredness, and dark colored urine. Also call your doctor at once if you have: muscle weakness in your hips, shoulders, neck, and back; trouble lifting your arms, trouble climbing or standing; upper stomach pain, weakness, tired feeling, loss of appetite, dark urine, yellowing of the skin or eyes (signs of liver problems); or little or no urinating, swelling in your feet or ankles, feeling tired or short of breath (signs of kidney problems). Common Lipitor side effects may include: joint pain; stuffy nose, sore throat; diarrhea; or pain in your arms or legs.",atorvastatin,Statins,49%,RX,X,Praluent|atorvastatin|simvastatin|rosuvastatin|ezetimibe|fenofibrate|Zetia|Crestor|pravastatin|telmisartan
Zetia,Cholesterol,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Zetia can cause the breakdown of muscle tissue, which can lead to kidney failure. Call your doctor right away if you have unexplained muscle pain, tenderness, or weakness especially if you also have fever, unusual tiredness, or dark urine. Side effects may be more likely in older adults. Common side effects of Zetia may include: diarrhea ; cold symptoms such as stuffy nose, sneezing, sore throat; pain in an arm or leg; joint pain; or muscle pain while taking Zetia with a statin.",ezetimibe,Cholesterol absorption inhibitors,49%,RX,C,Nexletol|Nexlizet|Praluent|atorvastatin|simvastatin|rosuvastatin|Lipitor|ezetimibe|Crestor
ezetimibe,Cholesterol,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Ezetimibe can cause the breakdown of muscle tissue, which can lead to kidney failure. Call your doctor right away if you have unexplained muscle pain, tenderness, or weakness especially if you also have fever, unusual tiredness, or dark urine. Side effects may be more likely in older adults. Common ezetimibe side effects may include: diarrhea ; cold symptoms such as stuffy nose, sneezing, sore throat ; pain in an arm or leg; joint pain; or muscle pain while taking ezetimibe with a statin.",ezetimibe,Cholesterol absorption inhibitors,44%,RX,C,
Crestor,Cholesterol,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: unexplained muscle pain, tenderness, or weakness; muscle weakness in your hips, shoulders, neck, and back; trouble lifting your arms, trouble climbing or standing; confusion, memory problems; or liver problems - upper stomach pain, tiredness, loss of appetite, dark urine, jaundice (yellowing of the skin or eyes). Common side effects may include: headache; weakness; muscle aches; or nausea, stomach pain.",rosuvastatin,Statins,40%,RX,X,
Repatha,Cholesterol,"hives, severe itching; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: high blood sugar - increased thirst, increased urination, dry mouth, fruity breath odor. Common Repatha side effects may include: redness, pain, or bruising where an injection was given; back pain; flu symptoms; or cold symptoms such as stuffy nose, sneezing, sore throat.",evolocumab,PCSK9 inhibitors,33%,RX,,
alirocumab,Cholesterol,"hives , severe rash and itching; difficult breathing; swelling of your face, lips, tongue, or throat. Common alirocumab side effects may include: redness, itching, soreness, or swelling where an injection was given; flu symptoms; or cold symptoms such as stuffy nose, sneezing, sore throat .",alirocumab,PCSK9 inhibitors,31%,RX,,
evolocumab,Cholesterol,"Evolocumab can cause serious side effects including: Serious Allergic Reactions . Some people taking evolocumab have had serious allergic reactions. Stop taking evolocumab and call your healthcare provider or seek emergency medical help right away if you or your child have any of these symptoms: trouble breathing or swallowing raised bumps (hives) rash, or itching swelling of the face, lips, tongue, throat or arms The most common side effects of evolocumab include: runny nose, sore throat, symptoms of the common cold, flu or flu-like symptoms, back pain, high blood sugar levels (diabetes) and redness, pain, or bruising at the injection site. Tell your healthcare provider if you or your child have any side effect that bothers you or that does not go away. These are not all the possible side effects of evolocumab. Ask your healthcare provider or pharmacist for more information. Call your healthcare provider for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088. Evolocumab side effects",evolocumab Brand name: Repatha,PCSK9 inhibitors,31%,RX,,Repatha|Praluent|Vascepa|atorvastatin|simvastatin|Ozempic|rosuvastatin|Lipitor|Xarelto|ezetimibe
Praluent,Cholesterol,"hives , severe rash and itching; difficult breathing; swelling of your face, lips, tongue, or throat. Common Praluent side effects may include: redness, itching, soreness, or swelling where an injection was given; flu symptoms; or cold symptoms such as stuffy nose, sneezing, sore throat .",alirocumab,PCSK9 inhibitors,31%,RX,,Vascepa|atorvastatin|simvastatin|Ozempic|rosuvastatin|Lipitor|Xarelto|ezetimibe|Trulicity|Crestor
rosuvastatin,Cholesterol,"Serious side effects of rosuvastatin include: Muscle pain, tenderness and weakness (myopathy). Muscle problems, including muscle breakdown, can be serious in some people and rarely cause kidney damage that can lead to death. Tell your doctor right away if: you have unexplained muscle pain, tenderness, or weakness, especially if you have a fever or feel more tired than usual, while you take this medication. you have muscle problems that do not go away even after your doctor has told you to stop taking this medication. Your doctor may do further tests to diagnose the cause of your muscle problems. Your chances of getting muscle problems are higher if you: are taking certain other medicines while you take rosuvastatin are 65 years of age or older have thyroid problems (hypothyroidism) that are not controlled have kidney problems are taking higher doses of this medication Liver problems. Your doctor should do blood tests to check your liver before you start taking this medication and if you have symptoms of liver problems while you taking it. Call your doctor right away if you have any of the following symptoms of liver problems: feel unusually tired or weak loss of appetite upper belly pain dark urine yellowing of your skin or the whites of your eyes The most common side effects of rosuvastain may include: headache muscle aches and pains abdominal pain weakness nausea Additional side effects that have been reported with rosuvastatin include memory loss and confusion. Tell your doctor if you have any side effect that bothers you or that does not go away. These are not all the possible side effects. For more information, ask your doctor or pharmacist. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088. Rosuvastatin side effects","rosuvastatin Brand names: Crestor , Ezallor Sprinkle",Statins,31%,RX,X,
pravastatin,Cholesterol,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. In rare cases, pravastatin can cause a condition that results in the breakdown of skeletal muscle tissue, leading to kidney failure. Call your doctor right away if you have unexplained muscle pain, tenderness, or weakness especially if you also have fever, unusual tiredness, or dark colored urine. Call your doctor right away if you have: muscle weakness in your hips, shoulders, neck, and back; trouble lifting your arms, trouble climbing or standing; or liver problems - loss of appetite, stomach pain (upper right side), tiredness, dark urine, jaundice (yellowing of the skin or eyes). Common pravastatin side effects may include: muscle or joint pain; nausea , vomiting , diarrhea ; headache ; or cold symptoms such as stuffy nose, sneezing, sore throat .",pravastatin,Statins,30%,RX,X,Praluent|aspirin|atorvastatin|clopidogrel|simvastatin|rosuvastatin|Lipitor|Plavix|ezetimibe|fenofibrate
lovastatin,Cholesterol,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Lovastatin can cause the breakdown of muscle tissue, which can lead to kidney failure. Call your doctor right away if you have unexplained muscle pain, tenderness, or weakness especially if you also have fever, unusual tiredness, or dark colored urine. Also call your doctor at once if you have: muscle weakness in your hips, shoulders, neck, and back; trouble lifting your arms, trouble climbing or standing; kidney problems--little or no urination, swelling in your feet or ankles, feeling tired or short of breath; or liver problems--loss of appetite, stomach pain (upper right side), tiredness, dark urine, jaundice (yellowing of the skin or eyes). Common side effects of lovastatin may include: infections; headache ; or accidental injury.",lovastatin,Statins,14%,RX,X,
